year,event_date,organization,program_or_award,service_lane,site_address,city,oversight_level,funding_source_or_agency,amount_usd,action_type,source_type,verification_status,notes
2025,2025-09-26,Children's Home of Poughkeepsie,90ZU0575 Home Study and Post-Release Services,child welfare/federal UC,10 Children's Way,Poughkeepsie,federal,HHS TAGGS,7730064,award,recipient action history,partial,Action amount reported in user-provided pull; keep row pending direct source capture
2025,2025-07-28,Children's Home of Poughkeepsie,90ZU0656 Prelicensed residential shelter/transitional foster care,child welfare/federal UC,10 Children's Way,Poughkeepsie,federal,HHS TAGGS,7949017,award,recipient action history,partial,Pending direct archive of action detail page
2025,2025-07-02,Children's Home of Poughkeepsie,90ZU0598 Residential long-term foster care services,child welfare/federal UC,10 Children's Way,Poughkeepsie,federal,HHS TAGGS,5681101,award,recipient action history,partial,Pending direct archive of action detail page
2024,2024-12-11,Children's Home of Poughkeepsie,90ZU0417 Residential shelter/TFC,child welfare/federal UC,10 Children's Way,Poughkeepsie,federal,HHS TAGGS,-3072871,reversal,recipient action history,partial,Paired negative action
2024,2024-12-11,Children's Home of Poughkeepsie,90ZU0417 Residential shelter/TFC,child welfare/federal UC,10 Children's Way,Poughkeepsie,federal,HHS TAGGS,3072871,amendment,recipient action history,partial,Paired positive action same day
2016,2016-11-02,Children's Home of Poughkeepsie,NYSED Waiver No. 690,clinical authorization,10 Children's Way,Poughkeepsie,state,NYSED Office of the Professions,,authorization,licensing directory,partial,Displayed waiver period starts 2016-11-02
2019,2019-11-30,Children's Home of Poughkeepsie,NYSED Waiver No. 690,clinical authorization,10 Children's Way,Poughkeepsie,state,NYSED Office of the Professions,,period_end,licensing directory,partial,Displayed waiver period end
2024,,Children's Home of Poughkeepsie,FY operating profile (revenue/expense/assets/employees),organization profile,10 Children's Way,Poughkeepsie,mixed,Cause IQ + organization report,30150000,ops,nonprofit directory + org report,partial,Keep staff count split if values differ across sources
2024,,Grace Smith House,County contract/audit window,domestic violence services,Dutchess County,Dutchess County,county,Dutchess County audit,1160000,ops,county audit,partial,Audit references 2022-2024 review window
2013,,Hudson River Housing,County homelessness initiative allocation,homelessness/youth,Various,Dutchess County,county,Dutchess County,3100000,allocation,county announcement,partial,Reported as part of >3.8M county homelessness funding
